DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,12,22797.08333,6088.25
069 - TRANSIENT ISCHEMIA,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,22,16818.40909,4552.363636
176 - PULMONARY EMBOLISM W/O MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,12,22418,6384.083333
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,12,25694.58333,8809.25
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,26,30679.57692,7547.538462
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,40,26346.525,7032.7
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,60,21270.35,5825.966667
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,44,15712.61364,4426.068182
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,26,41762.92308,8772.576923
194 - SIMPLE PNEUMONIA & PLEURISY W CC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,99,21512.49495,6208.575758
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,33,17553.24242,4390
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,14,22015.42857,5410.928571
291 - HEART FAILURE & SHOCK W MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,22,29317.04545,8667.318182
292 - HEART FAILURE & SHOCK W CC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,38,18044.76316,5385
293 - HEART FAILURE & SHOCK W/O CC/MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,14,13853.35714,4273.571429
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,17,15076.76471,4812.647059
312 - SYNCOPE & COLLAPSE,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,40,18568.425,4373.175
313 - CHEST PAIN,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,72,13441.08333,3376.888889
378 - G.I. HEMORRHAGE W CC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,36,27286.16667,6271
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,62,16856.66129,4488.967742
603 - CELLULITIS W/O MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,44,17941.29545,4967.5
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,37,17001.35135,4157.540541
683 - RENAL FAILURE W CC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,27,14889.40741,5744.259259
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,44,13961.93182,4687.045455
811 - RED BLOOD CELL DISORDERS W MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,11,27028.54545,7527.909091
812 - RED BLOOD CELL DISORDERS W/O MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,17,21823.58824,4904.764706
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,62,43908.30645,10925.96774
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,22,20435.59091,6826.590909
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,14,17062.21429,3800.857143
948 - SIGNS & SYMPTOMS W/O MCC,490001,NORTON COMMUNITY HOSPITAL,100  15TH ST NW,NORTON,VA,24273,TN - Kingsport,22,14200.54545,4150.5
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,11,34274.18182,9402.090909
069 - TRANSIENT ISCHEMIA,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,19,15251.47368,4202.894737
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,22,31665.09091,7311.727273
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,62,23559.20968,6517.596774
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,85,20692.67059,5452.752941
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,100,16930.57,4207.83
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,37,37383.64865,8399.72973
194 - SIMPLE PNEUMONIA & PLEURISY W CC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,94,24661.5,5756.925532
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,40,18518.675,4152.35
291 - HEART FAILURE & SHOCK W MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,37,30820.13514,8210.162162
292 - HEART FAILURE & SHOCK W CC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,30,18945.2,5664.166667
293 - HEART FAILURE & SHOCK W/O CC/MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,19,14844.57895,3966.473684
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,13,21338.38462,4853.692308
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,24,11793.83333,3291.125
312 - SYNCOPE & COLLAPSE,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,25,15628.16,4095.6
313 - CHEST PAIN,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,44,12523.29545,3211.863636
378 - G.I. HEMORRHAGE W CC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,14,20324.35714,5340.071429
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,53,14262.67925,4130.150943
603 - CELLULITIS W/O MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,28,17342.64286,4657.107143
638 - DIABETES W CC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,16,14254.75,5199.625
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,29,12323.44828,3960.241379
683 - RENAL FAILURE W CC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,11,16448.09091,4985.636364
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,11,29342.63636,5742.363636
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,60,14557.2,4427.016667
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,23,33878.52174,10079.82609
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,490002,RUSSELL COUNTY MEDICAL CENTER,58 CARROLL STREET,LEBANON,VA,24266,TN - Kingsport,18,21991.55556,6558.666667
